,location,total_sqft,bath,price,bhk,encoded_loc
0,Electronic City Phase II,1056.0,2,39.07,2,79
1,Chikka Tirupathi,2600.0,5,120.0,4,60
2,Uttarahalli,1440.0,2,62.0,3,230
3,Lingadheeranahalli,1521.0,3,95.0,3,162
4,Kothanur,1200.0,2,51.0,2,154
5,Whitefield,1170.0,2,38.0,2,239
6,Old Airport Road,2732.0,4,204.0,4,187
7,Marathahalli,1310.0,3,63.25,3,169
8,Whitefield,1800.0,2,70.0,3,239
9,7th Phase JP Nagar,1000.0,2,38.0,2,7
10,Gottigere,1100.0,2,40.0,2,87
11,Sarjapur,2250.0,3,148.0,3,206
12,Mysore Road,1175.0,2,73.5,2,175
13,Bisuvanahalli,1180.0,3,48.0,3,49
14,Raja Rajeshwari Nagar,1540.0,3,60.0,3,197
15,others,1100.0,2,48.0,2,245
16,Binny Pete,1755.0,3,122.0,3,48
17,Bellandur,1767.0,3,103.0,3,43
18,Thanisandra,510.0,1,25.25,1,223
19,others,1250.0,3,56.0,3,245
20,Electronic City,660.0,1,23.1,2,78
21,Whitefield,1610.0,3,81.0,3,239
22,Ramagondanahalli,1151.0,2,48.77,2,200
23,Electronic City,1025.0,2,47.0,3,78
24,Yelahanka,3525.0,4,186.0,4,241
25,Bisuvanahalli,1075.0,2,35.0,3,49
26,Hebbal,1760.0,2,123.0,3,98
27,Raja Rajeshwari Nagar,1693.0,3,57.39,3,197
28,Kasturi Nagar,1925.0,3,125.0,3,139
29,Kanakpura Road,700.0,2,36.0,2,135
30,Electronics City Phase 1,1070.0,2,45.5,2,80
31,Kundalahalli,1724.0,3,125.0,3,158
32,Chikkalasandra,1290.0,2,56.12,3,62
33,Uttarahalli,1143.0,2,45.0,2,230
34,Murugeshpalya,1296.0,2,81.0,2,174
35,Sarjapur  Road,1254.0,3,38.0,3,207
36,Ganga Nagar,600.0,1,38.0,1,83
37,Yelahanka,660.0,1,48.0,1,241
38,Kanakpura Road,1330.74,2,91.79,2,135
39,Doddathoguru,970.0,2,33.0,2,73
40,Whitefield,1459.0,2,94.82,2,239
41,others,869.0,2,36.0,2,245
42,others,1270.0,2,50.0,2,245
43,Bhoganhalli,1670.0,3,99.0,3,46
